"","ID","left_","top_","right_","bottom","elev","aspect","UTMx","UTMy","slope","IMI","HLI","elev1","x","y"
"1",1434,733225.7373,4281919.587,733325.7373,4282019.587,-0.582659267590412,42.33670425,733311.348304186,4282312.24187088,0.677954884198761,42.75230789,0.432634115,818.2138062,4.77573730000004,7.46958700000029
"2",1436,733325.7373,4282019.587,733425.7373,4282119.587,-0.608192381179119,305.8342285,733642.387882153,4282096.86423216,0.967494656816162,53.61651993,0.955869317,814.6240234,4.87573730000004,7.56958700000029
"3",1437,733325.7373,4281919.587,733425.7373,4282019.587,-0.463971425951104,310.6493835,733165.832938386,4281961.67631309,0.777241311379401,52.83080673,0.971914351,834.9005127,4.87573730000004,7.46958700000029
"4",1438,733425.7373,4282119.587,733525.7373,4282219.587,-0.797656197655723,59.79137421,733417.93672182,4282789.39692174,0.834289250878475,44.98310089,0.435164541,787.9866943,4.97573730000004,7.66958700000029
"5",1439,733425.7373,4282019.587,733525.7373,4282119.587,-0.533563539338136,53.3365593,733595.252029636,4282090.43316158,1.63265384862479,45.9490242,0.325937152,825.116333,4.97573730000004,7.56958700000029
"6",1440,733425.7373,4281919.587,733525.7373,4282019.587,-0.231838246332666,6.599774361,733566.246144328,4282027.09907261,0.425322579638219,51.26320267,0.449709713,867.5368652,4.97573730000004,7.46958700000029
"7",1441,733525.7373,4282119.587,733625.7373,4282219.587,-1.18496202518168,26.72003746,733947.796625887,4281636.78980866,-0.921472651509523,37.45972443,0.578457475,733.5341187,5.07573730000004,7.66958700000029
"8",1442,733525.7373,4282019.587,733625.7373,4282119.587,-0.85720480863644,16.9564991,733676.377043563,4281625.18155363,0.778726668264798,39.40809631,0.440922678,779.614563,5.07573730000004,7.56958700000029
"9",1443,733525.7373,4281919.587,733625.7373,4282019.587,-0.465130107667534,13.75411129,733453.299633295,4282067.59146844,1.33657854364622,39.04644394,0.406937361,834.7376099,5.07573730000004,7.46958700000029
"10",1444,733625.7373,4282119.587,733725.7373,4282219.587,-1.16804153566864,355.3521729,733607.238184938,4281549.87992309,0.948668694132108,44.51833725,0.554339707,735.9130249,5.17573730000004,7.66958700000029
"11",1445,733625.7373,4282019.587,733725.7373,4282119.587,-0.79669330631166,325.1794128,733503.23744657,4282288.85356199,0.0191425999986713,52.24902344,0.764976025,788.1220703,5.17573730000004,7.56958700000029
"12",1446,733625.7373,4281919.587,733725.7373,4282019.587,-0.43588521851045,316.6944275,733212.372953327,4281704.9273519,2.0136921147585,52.19314194,0.715648413,838.8492432,5.17573730000004,7.46958700000029
"13",1447,733725.7373,4282119.587,733825.7373,4282219.587,-1.31483815909375,20.96733665,733789.78320227,4282190.35676853,1.1027841215595,45.75001526,0.467681676,715.2744141,5.27573730000004,7.66958700000029
"14",1448,733725.7373,4282019.587,733825.7373,4282119.587,-0.923001359345534,10.86958504,733881.249583462,4282260.06851782,0.991415752932131,46.88537979,0.495970309,770.3640137,5.27573730000004,7.56958700000029
"15",1449,733725.7373,4281919.587,733825.7373,4282019.587,-0.394031578170907,8.115175247,733808.163469629,4281317.93342851,2.00996857833467,49.67479324,0.444609612,844.7335815,5.27573730000004,7.46958700000029
"16",1451,733825.7373,4282019.587,733925.7373,4282119.587,-1.0206922696845,59.97875595,734013.647483523,4282887.68571955,0.408955414566162,45.15442657,0.349073946,756.6293335,5.37573730000004,7.56958700000029
"17",1452,733825.7373,4281919.587,733925.7373,4282019.587,-0.762493304297309,65.00031281,733853.229941005,4282634.16757853,1.93687091271957,26.41978455,0.341720521,792.9303589,5.37573730000004,7.46958700000029
"18",1455,733925.7373,4281919.587,734025.7373,4282019.587,-1.16916896054478,29.31921005,733834.680139642,4281662.38325094,1.60374803062476,23.63689995,0.298575342,735.7545166,5.47573730000004,7.46958700000029
"19",1711,733225.7373,4281819.587,733325.7373,4281919.587,-0.311976579093206,33.36336517,733598.162416377,4282210.03448315,0.980823143826805,48.51605988,0.445035994,856.2699585,4.77573730000004,7.36958700000029
"20",1712,733225.7373,4281719.587,733325.7373,4281819.587,-0.107100426138955,313.4394226,733330.917267106,4281213.04211973,0.692033682067155,53.06678772,0.962823212,885.0741577,4.77573730000004,7.26958700000029
"21",1713,733325.7373,4281819.587,733425.7373,4281919.587,-0.344263822517797,309.3939514,733430.468770109,4281149.05545073,0.547692589693092,50.09806442,1.002243876,851.7305908,4.87573730000004,7.36958700000029
"22",1714,733325.7373,4281719.587,733425.7373,4281819.587,-0.142306731973129,351.4776611,733449.895525147,4282276.87658064,-0.688302443990945,41.55083847,0.501322091,880.1243896,4.87573730000004,7.26958700000029
"23",1715,733425.7373,4281819.587,733525.7373,4281919.587,-0.0452461720624874,298.8454895,733292.117001083,4281644.07698139,0.174613524166233,52.97975922,0.982344031,893.7704468,4.97573730000004,7.36958700000029
"24",1716,733425.7373,4281719.587,733525.7373,4281819.587,0.0585307484389278,311.1596375,733430.933285971,4281514.10031171,0.8357283933619,54.1821022,0.978329599,908.3607788,4.97573730000004,7.26958700000029
"25",1717,733525.7373,4281819.587,733625.7373,4281919.587,-0.0552766503704395,1.321486354,733474.432846006,4280646.79710134,0.747270669790643,43.57298279,0.45808351,892.3602295,5.07573730000004,7.36958700000029
"26",1718,733525.7373,4281719.587,733625.7373,4281819.587,0.311348289532235,346.6199951,733850.783029288,4281668.12925719,0.293794501475273,49.8700676,0.626671374,943.9052124,5.07573730000004,7.26958700000029
