"","cincount","shencount","UTMx","UTMy","elev","slope","aspect","IMI","ID","HLI","temp","temp10","ppt","area","year","x","y","asp_rad","north","east","std_HLI","std_IMI"
"1",0,0,725047.055313039,4269755.05465539,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,19.26,20.858,0.05,128,2011,-3.45294468696101,-4.74494534460735,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359
"2",0,0,725047.055313039,4269755.05465539,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,19.26,20.858,0.05,128,2011,-3.45294468696101,-4.74494534460735,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359
"3",0,0,725047.055313039,4269755.05465539,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,24.66,23.021,0,128,2011,-3.45294468696101,-4.74494534460735,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359
"4",0,0,725047.055313039,4269755.05465539,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,24.66,23.021,0,128,2011,-3.45294468696101,-4.74494534460735,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359
"5",0,0,725047.055313039,4269755.05465539,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,18.98,15.096,1.515,128,2011,-3.45294468696101,-4.74494534460735,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359
"6",1,0,725047.055313039,4269755.05465539,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,18.98,15.096,1.515,128,2011,-3.45294468696101,-4.74494534460735,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359
"7",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"8",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"9",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"10",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"11",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"12",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"13",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"14",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"15",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,24.66,23.021,0,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"16",0,0,724546.870658084,4268516.76932358,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,24.66,23.021,0,128,2011,-3.95312934191618,-5.98323067642096,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565
"17",0,0,724753.975998918,4269633.37459917,-1.18290861045497,1.41242860734619,283.9395447,53.47953033,17543,0.946692944,24.66,23.021,0,128,2011,-3.74602400108171,-4.8666254008282,4.95567993162862,0.24089795937229,-0.970550448544673,0.890981501145302,0.995003264801876
"18",0,0,724753.975998918,4269633.37459917,-1.18290861045497,1.41242860734619,283.9395447,53.47953033,17543,0.946692944,19.7,20.784,0,128,2011,-3.74602400108171,-4.8666254008282,4.95567993162862,0.24089795937229,-0.970550448544673,0.890981501145302,0.995003264801876
"19",0,0,724753.975998918,4269633.37459917,-1.18290861045497,1.41242860734619,283.9395447,53.47953033,17543,0.946692944,19.7,20.784,0,128,2011,-3.74602400108171,-4.8666254008282,4.95567993162862,0.24089795937229,-0.970550448544673,0.890981501145302,0.995003264801876
"20",0,0,724753.975998918,4269633.37459917,-1.18290861045497,1.41242860734619,283.9395447,53.47953033,17543,0.946692944,24.66,23.021,0,128,2011,-3.74602400108171,-4.8666254008282,4.95567993162862,0.24089795937229,-0.970550448544673,0.890981501145302,0.995003264801876
