"","cincount","shencount","UTMx","UTMy","elev","slope","aspect","IMI","ID","HLI","temp","temp10","ppt","area","year","x","y","asp_rad","north","east","std_HLI","std_IMI","distsk","distrd","disttr"
"1",0,0,724670.088798586,4268375.04768218,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,19.26,20.858,0.05,128,2011,-3.62426269999996,-5.73041299999971,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359,150.758316849036,114.615978000634,68.8869762280879
"2",0,0,724670.088798586,4268375.04768218,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,19.26,20.858,0.05,128,2011,-3.62426269999996,-5.73041299999971,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359,150.758316849036,114.615978000634,68.8869762280879
"3",0,0,724670.088798586,4268375.04768218,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,24.66,23.021,0,128,2011,-3.62426269999996,-5.73041299999971,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359,150.758316849036,114.615978000634,68.8869762280879
"4",0,0,724670.088798586,4268375.04768218,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,24.66,23.021,0,128,2011,-3.62426269999996,-5.73041299999971,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359,150.758316849036,114.615978000634,68.8869762280879
"5",0,0,724670.088798586,4268375.04768218,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,18.98,15.096,1.515,128,2011,-3.62426269999996,-5.73041299999971,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359,150.758316849036,114.615978000634,68.8869762280879
"6",1,0,724670.088798586,4268375.04768218,-0.217402692337798,1.21938396772617,294.5632629,51.21440125,17814,1.037486911,18.98,15.096,1.515,128,2011,-3.62426269999996,-5.73041299999971,5.14109879302266,0.415697719673748,-0.909502834442008,1.36724818870554,0.699383882189359,150.758316849036,114.615978000634,68.8869762280879
"7",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"8",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"9",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"10",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"11",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"12",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,23.28,22.335,5.07066666666667,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"13",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"14",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,19.7,20.784,0,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"15",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,24.66,23.021,0,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"16",0,0,724526.67724939,4269230.89048633,-1.40170848193211,0.915933108638539,330.6368103,50.42137146,17542,0.935987055,24.66,23.021,0,128,2011,-3.82426269999996,-5.43041299999971,5.7707009680269,0.871529017782991,-0.490343931503403,0.834822942819311,0.595886479333565,488.329809257233,198.025943633766,189.493699181699
"17",0,0,724661.519064573,4269197.36566081,-1.18290861045497,1.41242860734619,283.9395447,53.47953033,17543,0.946692944,24.66,23.021,0,128,2011,-3.72426269999996,-5.33041299999971,4.95567993162862,0.24089795937229,-0.970550448544673,0.890981501145302,0.995003264801876,475.364527469314,113.545511200981,93.8683070878949
